SubjectID,researchdate
5034735005191,2025-06-01
81075548469959065,2025-06-01
153131677170000130,2025-06-01
586793504968120128,2025-06-01
657536477715567505,2025-06-01
792639191900656642,2025-06-01
801651201304655618,2025-06-01
936754186446803894,2025-06-01
1008812355581841250,2025-06-01
1306054984423598367,2025-06-01
1306806058556077568,2025-06-01
1585271561336662224,2025-06-01
1585271561336695864,2025-06-01
1585271561336704203,2025-06-01
1585271561336766040,2025-06-01
1585271561337020096,2025-06-01
1585271561337044238,2025-06-01
1585271561337053954,2025-06-01
1954574044080790082,2025-06-01
2233791780476071135,2025-06-01
2243906939957421696,2025-06-01
2449965668495115531,2025-06-01
2738194092690289674,2025-06-01
3891115984388077834,2025-06-01
4260903199544299328,2025-06-01
4827866083748768960,2025-06-01
4827866083748770688,2025-06-01
5188154264055125095,2025-06-01
5188154264055125152,2025-06-01
5269223972552621314,2025-06-01
5413337214202464579,2025-06-01
6341074104264852368,2025-06-01
6485190696845707603,2025-06-01
6629304165209876610,2025-06-01
6927737971451443776,2025-06-01
7142969781737756800,2025-06-01
7493996866413376779,2025-06-01
7566064520488142175,2025-06-01
7710168402041500482,2025-06-01
8214571128982578588,2025-06-01
8791033531835245126,2025-06-01
8863090172069209728,2025-06-01
5034735007817,2025-06-02
225608272464491072,2025-06-02
729595691934239810,2025-06-02
947291746421455936,2025-06-02
1306806058556077568,2025-06-02
1585271561336695864,2025-06-02
1585271561336876209,2025-06-02
1585271561336924298,2025-06-02
1585271561336940537,2025-06-02
1585271561337000302,2025-06-02
1585271561337053954,2025-06-02
1729388141130525804,2025-06-02
2098690509497977664,2025-06-02
2098691289167691008,2025-06-02
2243906939957421696,2025-06-02
2316334052846495361,2025-06-02
2449965110012012815,2025-06-02
2747206538927418458,2025-06-02
4261396084881625472,2025-06-02
4692759896965140290,2025-06-02
4764817325728905537,2025-06-02
4908934708435070415,2025-06-02
5044038346077615240,2025-06-02
5413337214202460180,2025-06-02
5413337214202464579,2025-06-02
5557453419725369301,2025-06-02
6052843423965704693,2025-06-02
6133915128677095426,2025-06-02
6134031440866582528,2025-06-02
6269016405102144747,2025-06-02
6341074104264853201,2025-06-02
6494202711772201091,2025-06-02
6495489739328867520,2025-06-02
6629304165209877741,2025-06-02
6629304165209878011,2025-06-02
6999716893271764032,2025-06-02
7358893580340062978,2025-06-02
7358893773874615425,2025-06-02
8225073963540604608,2025-06-02
8800044858368715075,2025-06-02
8935147025123496880,2025-06-02
9007204635750639287,2025-06-02
5034735006047,2025-06-03
5034735007916,2025-06-03
576467810957597286,2025-06-03
657538164249049536,2025-06-03
1306806058556077568,2025-06-03
1378112445748263814,2025-06-03
1450168049750223233,2025-06-03
1513216533926154380,2025-06-03
